,name,brain_neurons,left,right,sink,preliminary_LN,partially_differentiated,motor,unsplittable,class1,all_class1,n_class1,class2,all_class2,n_class2,merge_class,paper_clustered_neurons,center,ipsilateral_axon,contralateral_axon,bilateral_axon,incomplete,MBON_special-cases,accessory_neurons,duplicated_neurons,developmental_defect,missing_axon,missing_dendrite,duplicated_neurons_to_delete,brain_and_inputs,very_incomplete,axon_lat,outputs,inputs,a1_ascending,sensory,a1_sensory,reconstruction_incomplete,io,sensories,PNs,LHNs,MBINs,KCs,MB-FBNs,CNs,dSEZs,dVNCs,RGNs,pre-dVNCs,ascendings,MBONs,pre-dSEZs,FFNs,PNs-somato,LNs,simple_group,all_simple_groups,n_simple_groups,color,hemisphere,pair,pair_id,lineage,axon_output,axon_input,dendrite_output,dendrite_input,considered,selected,selected_lcc,sum_walk_sort,predicted_pair,predicted_pair_id,has_valid_predicted_pair,latent_0,latent_1,latent_2,latent_3,latent_4,latent_5,latent_6,latent_7,latent_8,latent_9,latent_10,latent_11,latent_12,latent_13,latent_14,latent_15,has_embedding,dc_level_1_n_components=10_min_split=32,dc_level_2_n_components=10_min_split=32,dc_level_3_n_components=10_min_split=32,dc_level_4_n_components=10_min_split=32,dc_level_5_n_components=10_min_split=32,dc_level_6_n_components=10_min_split=32,dc_level_7_n_components=10_min_split=32,dc_level_8_n_components=10_min_split=32,dc_level_0_n_components=10_min_split=32,sum_signal_flow,sum_signal_flow_asc,sum_rank_signal_flow,_inds
15599768,BAmas12 contra right,True,False,True,False,False,False,False,False,dSEZ,['dSEZ'],1,,[],0,dSEZ,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,bi,True,False,False,False,False,False,output,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,dSEZs,['dSEZs'],1,#D88052,R,992646,2,BAmas12_ven_r,167.0,16.0,0.0,59.0,True,True,True,0.9642857142857144,992646.0,2.0,True,-1.1224977517976724e-05,1.936388816088713e-05,1.193317286993022e-05,-4.550380020340184e-05,-3.5864998741135144e-05,7.935923598932897e-06,2.804997108161314e-05,2.6506723118703825e-05,1.4325996315040808e-05,-2.714395394861227e-05,3.547726965564051e-05,-8.027070443119396e-05,1.0677693589777417e-05,-0.0001591075883659,-5.225469153893266e-07,-4.92911003165116e-05,True,1.0,4.0,9.0,20.0,42.0,83.0,141.0,141.0,0.0,-0.131306229243916,0.131306229243916,1537.0,1496
6156152,DALd bushy right; DALd_r 5 Review,True,False,True,False,False,False,False,False,dVNC,['dVNC' 'CX'],2,,[],0,dVNC,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,ipsi,True,False,False,False,False,False,output,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,dVNCs,['dVNCs'],1,#A52A2A,R,1622901,3,DALd_r,127.0,10.0,22.0,235.0,True,True,True,1.0,1622901.0,3.0,True,-0.0019432254321234,0.0189577160576394,-0.013903093334796,0.0818980232009637,-0.1138768168384198,-0.0894216617688376,0.0675730569695102,0.0343781708037996,0.1339093452923596,-0.0667012064880785,-0.0301521658390309,0.0063469470255182,-0.1102112319230247,-0.0215113344299647,-0.0056366906865694,-0.0282576135183724,True,1.0,3.0,8.0,17.0,35.0,71.0,128.0,200.0,0.0,-1.842542005389465,1.842542005389465,2910.0,2070
10276161,DALd_r 10 10276162 - JL,True,False,True,False,False,False,False,False,unk,[],0,,[],0,unk,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,bi,False,False,False,False,False,False,inter,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,pre-dVNCs,['pre-dVNCs'],1,#E0B1AD,R,1646076,4,DALd_r,301.0,28.0,0.0,240.0,True,True,True,0.8571428571428571,1646076.0,4.0,True,-0.0070670766424508,0.0558230509124871,-0.0283661014598859,0.0359983274967005,-0.1273920032534275,-0.1235615056830398,-0.035806311639443,-0.1374723382113863,-0.0233793325078353,0.0028454417852761,0.0036925745680418,0.032154904373295,0.1127502054634029,0.1141588180345122,0.0952966632723573,0.0876999641859566,True,2.0,6.0,13.0,27.0,56.0,102.0,170.0,240.0,0.0,-0.9960109484620724,0.9960109484620724,2561.0,2862
6153877,BU ; DALd 4_right,True,False,True,False,False,False,False,False,dVNC,['dVNC' 'CX'],2,,[],0,dVNC,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,ipsi,True,False,False,False,False,False,output,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,dVNCs,['dVNCs' 'pre-dVNCs'],2,#A52A2A,R,1678567,5,DALd_r,417.0,60.0,2.0,265.0,True,True,True,0.8888888888888888,1678567.0,5.0,True,-0.0036819855800429,0.0316054251696115,-0.0303190366945303,0.1114962080795649,-0.1418055424855587,-0.1120708980039371,0.0803195499480173,0.0454532403155147,0.1346352024931522,-0.0042733966779644,-0.0289374453751457,0.0049264638513107,-0.0628172637615292,0.013013055241659,0.016072284507883,0.0604646429587229,True,1.0,3.0,8.0,17.0,36.0,73.0,129.0,129.0,0.0,-1.7608706559520888,1.7608706559520888,2890.0,1974
14374534,UNK brain ascending right,True,False,True,False,False,False,False,False,unk,[],0,,[],0,unk,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,ipsi,False,False,False,False,False,False,inter,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,pre-dVNCs,['pre-dVNCs'],1,#E0B1AD,R,1679034,6,BAlp_ant_r,181.0,23.0,0.0,44.0,True,True,True,0.8571428571428572,1679034.0,6.0,True,-0.0068262558860933,0.029800270754058,-0.0243330146400946,0.0587515295078782,-0.045809461062378,-0.0190202827435461,0.0108241153414495,0.0160413890219901,0.0088716246783978,0.0138300092540622,0.0100120766997952,-0.0072037847829316,0.0298562788416023,-0.0036615703064436,-0.0095831780190716,-0.0056050840009163,True,1.0,3.0,8.0,17.0,36.0,74.0,131.0,203.0,0.0,-0.5515451980809598,0.5515451980809598,2067.0,2654
17698681,BAmas12 midline neuron 1 right,True,False,True,False,False,False,False,False,dSEZ,['dSEZ'],1,,[],0,dSEZ,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,ipsi,True,False,False,False,False,False,output,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,dSEZs,['dSEZs'],1,#D88052,R,1924051,7,BAmas12_dor_r,134.0,13.0,5.0,36.0,True,True,True,1.0,1924051.0,7.0,True,-1.9626709842892143e-05,0.0001537463715283,0.000123808281051,8.986085861778968e-05,-0.000207019027104,5.825382007076178e-05,9.188263394756732e-05,-4.400540024342503e-05,-0.0001449042533246,9.814822341588674e-05,3.500074122866291e-05,-0.0001358965365372,5.043028668686942e-05,-0.0007598338836528,0.0005483887125082,-7.815761039508204e-06,True,1.0,4.0,9.0,19.0,39.0,80.0,80.0,80.0,0.0,0.136285322475263,-0.136285322475263,1235.0,1731
9177218,CPf contralateral 3 right,True,False,True,False,False,False,False,False,unk,[],0,,[],0,unk,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,bi,False,False,False,False,False,False,inter,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,pre-dVNCs,['pre-dVNCs' 'pre-dSEZs'],2,#E0B1AD,R,1961182,8,CPf_r,142.0,13.0,0.0,70.0,True,True,True,0.8333333333333334,1961182.0,8.0,True,-0.0013011020508069,0.0192680598570065,-0.0138900596635173,-0.0223230573205972,-0.0247574021520133,-0.0419153593072423,-0.0407997046750181,-0.0571077205325225,-0.0149612785631274,-0.0061069537506072,0.0157775442450038,-0.000449362594569,0.047764375778405,0.0463417057304125,0.0319735570599848,0.0149158180532117,True,1.0,3.0,7.0,15.0,31.0,64.0,116.0,187.0,0.0,-0.3388082770494593,0.3388082770494593,1804.0,2753
17415439,presynaptic-D-2-MAP right,True,False,True,False,False,False,False,False,unk,[],0,,[],0,unk,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,bi,False,False,False,False,False,False,inter,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,pre-dSEZs,['pre-dSEZs'],1,#FFDAC7,R,2142817,9,DPLc_ant_lat_r,271.0,45.0,2.0,152.0,True,True,True,0.8333333333333334,2142817.0,9.0,True,-0.0089066209286721,0.0773412167115397,-0.0166657128825515,-0.1140584549515966,0.0535797280018853,-0.0289095380536779,0.0529438209940772,0.0450386416736394,0.1360809498092287,-0.0251345156213741,0.1014517173821549,-0.0783152287196641,-0.0448242617449605,0.0471997432705854,0.0769124283651539,-0.0032286736082185,True,2.0,6.0,14.0,30.0,62.0,114.0,184.0,252.0,0.0,-0.3859881733758281,0.3859881733758281,1870.0,1703
2512602,LN2;right,True,False,True,True,False,False,False,False,LON,['LON'],1,,[],0,LON,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,ipsi,False,False,False,False,False,True,inter,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,PNs,['PNs'],1,#1D79B7,R,2204467,10,BLAd-OL_r,0.0,0.0,0.0,50.0,True,True,True,,2204467.0,10.0,True,-0.0001731079584732,0.0033682871763619,0.0026002639713473,-0.0071411147453206,-0.0102931276572498,0.009406362959934,0.0074451332127538,-0.006317807433186,-0.0014717864715624,0.0077325758940956,-0.0110611852809731,0.0081732007546705,-0.0048225579706093,0.0015927812718156,-0.0059583546313777,0.000132243984071,True,1.0,3.0,7.0,15.0,32.0,66.0,120.0,120.0,0.0,0.3543712576054731,-0.3543712576054731,979.0,2313
10119916,Z: contra_right,True,False,True,False,False,False,False,False,LHN;CN,['LHN' 'CN'],2,,[],0,LHN;CN,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,bi,False,False,False,False,False,False,inter,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False,LHNs,['LHNs' 'CNs' 'pre-dVNCs' 'pre-dSEZs'],4,#D4E29E,R,2369444,11,DPLd_r,588.0,95.0,0.0,452.0,True,True,True,0.75,2369444.0,11.0,True,-0.0270180259183305,0.1520576240254597,-0.0352935839136705,-0.1447199503779777,0.1100247553228637,-0.0497711378070945,0.0897445822027502,0.0924817837615998,0.0970439076466235,-0.2276349397555128,0.2587020092297161,-0.1366781200059953,-0.1574329936555153,0.0105110567755052,0.134303913486095,0.0616404792126971,True,2.0,6.0,14.0,30.0,61.0,111.0,111.0,111.0,0.0,-0.5542615853021764,0.5542615853021764,2070.0,2872
