,name,brain_neurons,left,right,sink,preliminary_LN,partially_differentiated,motor,unsplittable,class1,all_class1,n_class1,class2,all_class2,n_class2,merge_class,paper_clustered_neurons,center,ipsilateral_axon,contralateral_axon,bilateral_axon,incomplete,MBON_special-cases,accessory_neurons,duplicated_neurons,developmental_defect,missing_axon,missing_dendrite,duplicated_neurons_to_delete,brain_and_inputs,very_incomplete,axon_lat,outputs,inputs,a1_ascending,sensory,a1_sensory,reconstruction_incomplete,io,sensories,PNs,LHNs,MBINs,KCs,MB-FBNs,CNs,dSEZs,dVNCs,RGNs,pre-dVNCs,ascendings,MBONs,pre-dSEZs,FFNs,PNs-somato,LNs,simple_group,all_simple_groups,n_simple_groups,color,hemisphere,pair,pair_id,lineage,axon_output,axon_input,dendrite_output,dendrite_input,considered,selected,selected_lcc,sum_walk_sort,predicted_pair,predicted_pair_id,has_valid_predicted_pair,latent_0,latent_1,latent_2,latent_3,latent_4,latent_5,latent_6,latent_7,latent_8,latent_9,latent_10,latent_11,latent_12,latent_13,latent_14,latent_15,has_embedding,dc_level_1_n_components=10_min_split=32,dc_level_2_n_components=10_min_split=32,dc_level_3_n_components=10_min_split=32,dc_level_4_n_components=10_min_split=32,dc_level_5_n_components=10_min_split=32,dc_level_6_n_components=10_min_split=32,dc_level_7_n_components=10_min_split=32,dc_level_8_n_components=10_min_split=32,dc_level_0_n_components=10_min_split=32,sum_signal_flow,sum_signal_flow_asc,sum_rank_signal_flow,_inds
992646,BAmas12 contra left; Interneuron--35 in total,True,True,False,False,False,False,False,False,dSEZ,['dSEZ'],1,,[],0,dSEZ,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,bi,True,False,False,False,False,False,output,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,dSEZs,['dSEZs'],1,#D88052,L,15599768,2,BAmas12_ven_l,280.0,31.0,0.0,97.0,True,True,True,0.6547619047619048,15599768.0,2.0,True,-7.897471276411306e-05,8.527372507641828e-05,3.609132286336485e-05,-0.0004100645627809,-0.00023869549865,0.0001385790662273,0.0001542011953496,0.0002762829890754,0.0001653942297706,7.188088728753366e-05,0.0002472395938765,-0.000650652610474,0.0001429835376222,-0.0005290613658319,-0.0007213454659726,-4.040067414207109e-06,True,1.0,4.0,9.0,20.0,42.0,83.0,141.0,141.0,0.0,-0.5777282954648676,0.5777282954648676,2101.0,1107
1622901,DALd bushy left; DALd_l  2,True,True,False,False,False,False,False,False,dVNC,['dVNC' 'CX'],2,,[],0,dVNC,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,ipsi,True,False,False,False,False,False,output,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,dVNCs,['dVNCs'],1,#A52A2A,L,6156152,3,DALd_l,247.0,33.0,48.0,147.0,True,True,True,0.9230769230769232,6156152.0,3.0,True,-0.0004598917483985,0.0123577351836053,-0.0120091661810175,0.0706264300365309,-0.0928403677296942,-0.0706540261957203,0.0673841830018577,0.0252024417070328,0.1155203914360095,-0.0567357858867298,-0.0234960641347753,0.001963439078024,-0.1055221225117628,-0.0209469956645097,-0.0106612931420853,-0.0347131434319171,True,1.0,3.0,8.0,17.0,35.0,71.0,128.0,200.0,0.0,-1.7598029256220085,1.7598029256220085,2889.0,1132
1646076,DALd_l  3,True,True,False,False,False,False,False,False,unk,[],0,,[],0,unk,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,bi,False,False,False,False,False,False,inter,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,pre-dVNCs,['pre-dVNCs'],1,#E0B1AD,L,10276161,4,DALd_l,226.0,34.0,2.0,98.0,True,True,True,0.8571428571428572,10276161.0,4.0,True,-0.0059524389663968,0.0398671931533984,-0.0234870555395422,0.0493683250354778,-0.1147566723816129,-0.0952848298198148,0.0055512567349832,-0.0964209389405214,-0.0034708251277597,0.0027323441182399,-0.0085471545258969,0.0414234394485767,0.0640795184215751,0.1137687773848323,0.1013159551480384,0.0871016749295211,True,2.0,6.0,13.0,27.0,56.0,102.0,170.0,240.0,0.0,-0.938347434774912,0.938347434774912,2508.0,1131
1678567,BU ; DALd 4_left,True,True,False,False,False,False,False,False,dVNC,['dVNC' 'CX'],2,,[],0,dVNC,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,ipsi,True,False,False,False,False,False,output,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,dVNCs,['dVNCs' 'pre-dVNCs'],2,#A52A2A,L,6153877,5,DALd_l,279.0,20.0,2.0,389.0,True,True,True,1.0,6153877.0,5.0,True,-0.0062903152102311,0.0462399295187258,-0.0423316012127769,0.1581066905679249,-0.1735453847755234,-0.126769366253559,0.1161547707261703,0.0404581523000442,0.1526800089913977,0.0268896855961849,-0.023851360544446,-0.0048917863399595,-0.0715023304506325,0.0311855427769007,0.0331256943559121,0.0817337089205099,True,1.0,3.0,8.0,17.0,36.0,73.0,129.0,129.0,0.0,-1.832707709200908,1.832707709200908,2909.0,1130
1679034,UNK brain ascending left,True,True,False,False,False,False,False,False,unk,[],0,,[],0,unk,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,ipsi,False,False,False,False,False,False,inter,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,pre-dVNCs,['pre-dVNCs'],1,#E0B1AD,L,14374534,6,BAlp_ant_l,116.0,11.0,0.0,16.0,True,True,True,0.8397435897435898,14374534.0,6.0,True,-0.0088481936378703,0.0212002317611394,-0.018379757555632,0.0404176386923158,-0.0285937409869313,-0.0232243764160661,0.0142981732889201,0.0046349566880087,0.0019693618704205,0.0130667284687389,-0.0113556147615818,-0.001745639996977,0.0222172934272011,0.0061832262577073,-0.0003628127255906,0.0207159097081998,True,1.0,3.0,8.0,17.0,36.0,74.0,131.0,203.0,0.0,-0.3640905273830895,0.3640905273830895,1844.0,1129
1924051,BAmas12 midline neuron 1 left,True,True,False,False,False,False,False,False,dSEZ,['dSEZ'],1,,[],0,dSEZ,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,bi,True,False,False,False,False,False,output,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,dSEZs,['dSEZs'],1,#D88052,L,17698681,7,BAmas12_dor_l,169.0,13.0,12.0,74.0,True,True,True,0.3923076923076923,17698681.0,7.0,True,-1.0410579472828285e-05,2.0088628359080112e-05,5.323209470766173e-06,-2.822003556802176e-05,2.184945308040641e-05,1.6782648269957842e-05,-4.374034471368492e-05,1.975068913652554e-05,0.0001093304667919,-7.802183445271948e-05,0.0001208267248769,-0.000165864903581,8.449132639679012e-06,-6.730270028497321e-05,-2.817079144686484e-05,3.406193012712616e-05,True,1.0,4.0,9.0,19.0,39.0,80.0,80.0,80.0,0.0,0.4441699875449103,-0.4441699875449103,888.0,1100
1961182,CPf contralateral 3 left,True,True,False,False,False,False,False,False,unk,[],0,,[],0,unk,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,bi,False,False,False,False,False,False,inter,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,pre-dVNCs,['pre-dVNCs' 'pre-dSEZs'],2,#E0B1AD,L,9177218,8,CPd_l,177.0,16.0,2.0,52.0,True,True,True,0.8333333333333334,9177218.0,8.0,True,-0.0021497925864707,0.0281877939723699,-0.013652162289568,-0.0282106410954446,-0.0319507788607973,-0.0465730370417868,-0.0440586131362118,-0.0703334071683721,-0.0127303431918981,-0.0068160076826314,0.0205261150085864,-0.0085660413318744,0.0506753032217472,0.0508533834369026,0.030109620851677,0.0021976002831663,True,1.0,3.0,7.0,15.0,31.0,64.0,116.0,187.0,0.0,-0.2452419636167825,0.2452419636167825,1682.0,1074
2142817,pre-dorsal-MAP presynaptic-D-2-R left,True,True,False,False,False,False,False,False,unk,[],0,,[],0,unk,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,bi,False,False,False,False,False,False,inter,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,pre-dSEZs,['pre-dSEZs'],1,#FFDAC7,L,17415439,9,DPLc_ant_lat_l,228.0,29.0,1.0,92.0,True,True,True,0.875,17415439.0,9.0,True,-0.0066268291190473,0.057319898012901,-0.0148262325898093,-0.0951256449377861,0.047660926528159,-0.0333541668632004,0.030453293910186,0.0453697188755463,0.0987442247540884,-0.0411220112110729,0.1255561082420248,-0.1133247556580581,-0.0777275659690981,0.0651223468287428,0.0743964984293315,0.0184589840671423,True,2.0,6.0,14.0,30.0,62.0,114.0,184.0,252.0,0.0,-0.4195513957851066,0.4195513957851066,1920.0,1070
2204467,LN2;left,True,True,False,False,False,False,False,False,LON,['LON'],1,,[],0,LON,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,ipsi,False,False,False,False,False,False,inter,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,PNs,['PNs'],1,#1D79B7,L,2512602,10,BLAd-OL_l,35.0,6.0,0.0,52.0,True,True,True,0.2857142857142857,2512602.0,10.0,True,-0.0018305210553149,0.0098363151170002,0.0071935335133667,-0.0190359650792878,-0.0133971148554951,0.0151032170085205,0.0229866712548152,0.0130393507809581,0.0170291780240526,0.0238375947665539,-0.0285512993713972,0.0193465005352626,0.0245222270797056,0.0118112962076758,-0.0013931613466978,0.0011783121018392,True,1.0,3.0,7.0,15.0,32.0,66.0,120.0,120.0,0.0,0.6273594107800098,-0.6273594107800098,742.0,1068
2369444,Z: contra_left ,True,True,False,False,False,False,False,False,LHN;CN,['LHN' 'CN'],2,,[],0,LHN;CN,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,bi,False,False,False,False,False,False,inter,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False,LHNs,['LHNs' 'CNs' 'pre-dVNCs' 'pre-dSEZs'],4,#D4E29E,L,10119916,11,DPLd_l,613.0,116.0,2.0,376.0,True,True,True,0.75,10119916.0,11.0,True,-0.025508974654765,0.1533124977716199,-0.0496861168991259,-0.1707457601077744,0.1065164758016259,-0.0603367913072613,0.0673944083094507,0.1080740946089151,0.1106070787638765,-0.1897211041421176,0.2460020997735881,-0.177765528747631,-0.1556018368545367,0.0692471157275838,0.1250988888884782,0.079232588007195,True,2.0,6.0,14.0,30.0,61.0,111.0,111.0,111.0,0.0,-0.4941693723763448,0.4941693723763448,2004.0,1055
